NAME                           VERSION      TYPE                           
actions/cache                  v4.3.0       github-action                  
actions/checkout               v4.4.0       github-action  (+1 duplicate)  
actions/configure-pages        v5.0.0       github-action                  
actions/deploy-pages           v4.0.5       github-action                  
actions/setup-python           v5.6.0       github-action                  
actions/upload-pages-artifact  v3.0.1       github-action                  
babel                          2.18.0       python                         
backrefs                       7.0          python                         
certifi                        2026.6.17    python                         
charset-normalizer             3.4.8        python                         
click                          8.4.2        python                         
colorama                       0.4.6        python                         
ghp-import                     2.1.0        python                         
idna                           3.18         python                         
jinja2                         3.1.6        python                         
markdown                       3.10.2       python                         
markupsafe                     3.0.3        python                         
mergedeep                      1.3.4        python                         
mkdocs                         1.6.1        python                         
mkdocs-get-deps                0.2.2        python                         
mkdocs-material                9.7.6        python                         
mkdocs-material-extensions     1.3.1        python                         
packaging                      26.2         python                         
paginate                       0.5.7        python                         
pathspec                       1.1.1        python                         
platformdirs                   4.10.0       python                         
pygments                       2.20.0       python                         
pymdown-extensions             11.0.1       python                         
python-dateutil                2.9.0.post0  python                         
pyyaml                         6.0.3        python                         
pyyaml-env-tag                 1.1          python                         
requests                       2.34.2       python                         
six                            1.17.0       python                         
urllib3                        2.7.0        python                         
vale-cli/vale-action           v2.1.2       github-action                  
watchdog                       6.0.0        python                         
